Rk,Year,Conf,W,L,T,Pct,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,CFP High,CFP Final,Coach(es),Bowl,Notes
48,1977,SWC,11,1,0,0.917,8,0,0,1,23.3,7.8,,1,4,,,Fred Akers (11-1),Cotton Bowl (L),
49,1976,SWC,5,5,1,0.5,4,4,0,0.5,8.45,7.82,7,7,,,,Darrell Royal (5-5-1),,
50,1975,SWC,10,2,0,0.833,6,1,0,0.857,21.49,8.08,11,5,6,,,Darrell Royal (10-2),Bluebonnet Bowl (W),
51,1974,SWC,8,4,0,0.667,5,2,0,0.714,16.88,7.71,10,6,17,,,Darrell Royal (8-4),Gator Bowl (L),
52,1973,SWC,8,3,0,0.727,7,0,0,1,20.47,8.01,3,3,14,,,Darrell Royal (8-3),Cotton Bowl (L),
53,1972,SWC,10,1,0,0.909,7,0,0,1,23.72,11.72,14,3,3,,,Darrell Royal (10-1),Cotton Bowl (W),
54,1971,SWC,8,3,0,0.727,6,1,0,0.857,13.42,4.69,3,3,18,,,Darrell Royal (8-3),Cotton Bowl (L),
55,1970,SWC,10,1,0,0.909,7,0,0,1,28.29,10.93,2,1,3,,,Darrell Royal (10-1),Cotton Bowl (L),National Championships: NFF UPI
56,1969,SWC,11,0,0,1,7,0,0,1,23.32,4.32,4,1,1,,,Darrell Royal (11-0),Cotton Bowl (W),National Championships: AP FWAA NFF UPI
57,1968,SWC,9,1,1,0.864,6,1,0,0.857,24.61,9.24,5,3,3,,,Darrell Royal (9-1-1),Cotton Bowl (W),
58,1967,SWC,6,4,0,0.6,4,3,0,0.571,11.02,5.02,4,4,,,,Darrell Royal (6-4),,
59,1966,SWC,7,4,0,0.636,5,2,0,0.714,13.92,8.38,,,,,,Darrell Royal (7-4),Bluebonnet Bowl (W),
60,1965,SWC,6,4,0,0.6,3,4,0,0.429,11.95,5.55,2,1,,,,Darrell Royal (6-4),,
61,1964,SWC,10,1,0,0.909,6,1,0,0.857,18.84,6.66,4,1,5,,,Darrell Royal (10-1),Orange Bowl (W),
62,1963,SWC,11,0,0,1,7,0,0,1,23.25,8.35,5,1,1,,,Darrell Royal (11-0),Cotton Bowl (W),National Championships: AP FWAA NFF UPI
63,1962,SWC,9,1,1,0.864,6,0,1,0.929,15.23,5.5,2,1,4,,,Darrell Royal (9-1-1),Cotton Bowl (L),
64,1961,SWC,10,1,0,0.909,6,1,0,0.857,25.33,5.97,4,1,3,,,Darrell Royal (10-1),Cotton Bowl (W),
65,1960,SWC,7,3,1,0.682,5,2,0,0.714,14.82,8,4,4,,,,Darrell Royal (7-3-1),Bluebonnet Bowl (T),
66,1959,SWC,9,2,0,0.818,5,1,0,0.833,19.58,8.39,17,2,4,,,Darrell Royal (9-2),Cotton Bowl (L),
67,1958,SWC,7,3,0,0.7,3,3,0,0.5,10.11,7.81,11,4,,,,Darrell Royal (7-3),,
68,1957,SWC,6,4,1,0.591,4,1,1,0.75,11.38,9.2,,11,11,,,Darrell Royal (6-4-1),Sugar Bowl (L),
69,1956,SWC,1,9,0,0.1,0,6,0,0,-1.76,12.05,,,,,,Edwin Price (1-9),,
70,1955,SWC,5,5,0,0.5,4,2,0,0.667,11.18,12.08,,,,,,Edwin Price (5-5),,
71,1954,SWC,4,5,1,0.45,2,3,1,0.417,10.45,10.55,4,4,,,,Edwin Price (4-5-1),,
72,1953,SWC,7,3,0,0.7,5,1,0,0.833,14.86,8.66,11,6,11,,,Edwin Price (7-3),,
73,1952,SWC,9,2,0,0.818,6,0,0,1,19.04,8.95,11,5,10,,,Edwin Price (9-2),Cotton Bowl (W),
74,1951,SWC,7,3,0,0.7,3,3,0,0.5,16.7,11.5,11,4,,,,Edwin Price (7-3),,
75,1950,SWC,9,2,0,0.818,6,0,0,1,18.92,9.92,5,3,3,,,Blair Cherry (9-2),Cotton Bowl (L),
76,1949,SWC,6,4,0,0.6,3,3,0,0.5,19.12,9.02,,10,,,,Blair Cherry (6-4),,
77,1948,SWC,7,3,1,0.682,4,1,1,0.75,14.04,9.49,,16,,,,Blair Cherry (7-3-1),Orange Bowl (W),
